component_id,component_type_id,type,connection_type_id,outside_shape,base_type,height_over_tube,bolt_pattern_long,bolt_pattern_wide,groove,base_diameter,shoulder_diameter,unique_feature,orientation,weight
C-0008,CP-018,Boss,B-005,Round,Flat Bottom,17,NA,NA,No,22,NA,Yes,Yes,0.032
C-0009,CP-018,Boss,B-004,Round,Flat Bottom,13,NA,NA,No,25,NA,No,Yes,0.033
C-0020,CP-018,Boss,B-005,Round,Saddle,28.4,NA,NA,No,35,NA,Yes,Yes,0.07
C-0054,CP-018,Boss,B-005,Round,Saddle,27.1,NA,NA,No,NA,NA,Yes,Yes,0.18
C-0071,CP-018,Boss,B-005,Round,Shoulder,20,NA,NA,No,30,23,Yes,Yes,0.08
C-0082,CP-018,Boss,B-002,Round,Saddle,15.65,NA,NA,No,NA,NA,Yes,Yes,0.043
C-0083,CP-019,NA,B-012,NA,NA,36.5,77.8,42.9,No,NA,NA,No,Yes,2.093
C-0084,CP-019,NA,B-012,NA,NA,36.5,88.9,50.8,No,NA,NA,No,Yes,2.601
C-0111,CP-018,Boss,B-009,Round,Shoulder,19,NA,NA,No,35,30,Yes,Yes,0.1
C-0117,CP-018,Boss,B-005,Round,Saddle,22,NA,NA,No,25.4,NA,No,Yes,0.081
C-0151,CP-018,Boss,B-005,Round,Saddle,17.9,NA,NA,No,NA,NA,Yes,Yes,0.047
C-0161,CP-020,NA,9999,NA,NA,19.2,76.2,NA,No,NA,NA,No,Yes,0.559
C-0165,CP-018,Boss,B-005,Round,Shoulder,12,NA,NA,No,30,25,No,Yes,0.046
C-0177,CP-018,Boss,B-005,Round,Saddle,24,NA,NA,No,NA,NA,Yes,Yes,0.122
C-0199,CP-018,Boss,B-004,Round,Shoulder,23.6,NA,NA,No,33.33,23.9,Yes,Yes,0.1
C-0208,CP-018,Stud,B-002,Round,Saddle,15.75,NA,NA,No,NA,NA,No,Yes,0.023
C-0209,CP-018,Stud,B-002,Round,Saddle,15.75,NA,NA,No,NA,NA,No,Yes,0.022
C-0213,CP-018,Stud,B-002,Round,Saddle,22.35,NA,NA,No,NA,NA,No,Yes,0.159
C-0214,CP-018,Stud,B-002,Round,Saddle,19.05,NA,NA,No,NA,NA,No,Yes,0.059
C-0215,CP-018,Stud,B-002,Round,Saddle,17.53,NA,NA,No,NA,NA,No,Yes,0.033
C-0242,CP-018,Boss,B-005,Round,Flat Bottom,20,NA,NA,No,32,NA,Yes,Yes,0.08
C-0243,CP-019,NA,B-012,NA,NA,36,88.9,50.8,No,NA,NA,No,Yes,4.034
C-0245,CP-018,Boss,B-004,Round,Shoulder,20.5,NA,NA,No,26.9,20.6,Yes,Yes,0.1
C-0255,CP-018,Boss,B-005,Round,Saddle,25,NA,NA,No,NA,NA,Yes,Yes,0.127
C-0257,CP-019,NA,B-012,NA,NA,27.2,77.77,42.88,No,NA,NA,No,Yes,1.63
C-0258,CP-018,Boss,B-005,Round,Saddle,20.9,NA,NA,No,NA,NA,Yes,Yes,0.192
C-0260,CP-018,Boss,B-005,Round,Saddle,25.4,NA,NA,No,NA,NA,Yes,Yes,0.186
C-0262,CP-018,Boss,B-009,Round,Saddle,20.6,NA,NA,No,NA,NA,Yes,Yes,0.158
C-0269,CP-019,NA,B-012,NA,NA,10.55,120.7,69.9,No,NA,NA,No,Yes,3.361
C-0274,CP-018,Boss,B-005,Round,Saddle,39.33,NA,NA,No,40,NA,Yes,Yes,0.378
C-0278,CP-018,Stud,B-002,Round,Saddle,14.22,NA,NA,No,NA,NA,No,Yes,0.015
C-0307,CP-019,NA,B-013,NA,NA,9999,57.15,27.76,No,NA,NA,No,Yes,1.05
C-0348,CP-018,Boss,B-005,Round,Saddle,19.1,NA,NA,No,NA,NA,Yes,Yes,0.045
C-0356,CP-018,Boss,B-005,Round,Shoulder,8,NA,NA,No,35,30,Yes,Yes,0.12
C-0358,CP-018,Boss,B-009,Round,Saddle,38.4,NA,NA,No,NA,NA,Yes,Yes,0.154
C-0387,CP-019,NA,B-012,NA,NA,24,58.72,30.18,No,NA,NA,No,Yes,0.939
C-0393,CP-018,Boss,B-005,Hex,Shoulder,24,NA,NA,No,22,12.24,Yes,Yes,0.06
C-0405,CP-018,Boss,B-005,Round,Shoulder,10,NA,NA,No,30,20,Yes,Yes,0.05
C-0411,CP-018,Stud,B-002,Round,Saddle,17.53,NA,NA,No,NA,NA,No,Yes,0.034
C-0425,CP-018,Boss,B-004,Round,Shoulder,8.73,NA,NA,No,15.88,12.29,No,Yes,0.005
C-0426,CP-018,Boss,B-004,Round,Shoulder,6,NA,NA,No,22,18.2,No,Yes,0.023
C-0432,CP-018,Boss,B-004,Round,Saddle,22.23,NA,NA,No,38.1,NA,No,Yes,0.063
C-0474,CP-018,Boss,B-005,Round,Saddle,15.75,NA,NA,No,NA,NA,No,Yes,0.054
C-0475,CP-018,Boss,B-005,Round,Saddle,15.8,NA,NA,No,NA,NA,Yes,Yes,0.05
C-0483,CP-018,Boss,B-004,Round,Saddle,12,NA,NA,No,NA,NA,No,Yes,0.08
C-0486,CP-018,Boss,B-004,Round,Shoulder,25.4,NA,NA,No,38.1,26.9,Yes,Yes,0.114
C-0493,CP-018,Boss,B-004,Round,Saddle,16,NA,NA,No,NA,NA,No,Yes,0.015
C-0495,CP-018,Boss,B-005,Hex,Saddle,25.4,NA,NA,No,NA,NA,No,Yes,0.083
C-0497,CP-018,Boss,B-005,Round,Saddle,16,NA,NA,No,NA,NA,Yes,Yes,0.052
C-0499,CP-018,Boss,B-005,Hex,Saddle,29.3,NA,NA,No,NA,NA,No,Yes,0.082
C-0502,CP-018,Stud,B-002,Hex,Saddle,31.9,NA,NA,No,NA,NA,No,Yes,0.269
C-0506,CP-018,Boss,B-005,Round,Saddle,24,NA,NA,No,NA,NA,Yes,Yes,0.093
C-0513,CP-019,NA,9999,NA,NA,35,77.77,57.94,No,NA,NA,No,Yes,2.14
C-0520,CP-018,Boss,B-005,Round,Shoulder,9.5,NA,NA,No,25,18,Yes,Yes,0.021
C-0533,CP-018,Boss,B-010,Round,Saddle,16,NA,NA,No,NA,NA,Yes,Yes,0.026
C-0534,CP-018,Boss,B-005,Round,Saddle,21.6,NA,NA,No,NA,NA,Yes,Yes,0.217
C-0539,CP-018,Boss,B-005,Hex,Saddle,14.17,NA,NA,No,NA,NA,Yes,Yes,0.003
C-0544,CP-018,Stud,B-002,Round,Saddle,22.35,NA,NA,No,33.38,NA,No,Yes,0.129
C-0547,CP-018,Stud,B-002,Round,Saddle,14.3,NA,NA,No,NA,NA,No,Yes,0.012
C-0548,CP-018,Stud,B-002,Round,Saddle,17.53,NA,NA,No,NA,NA,No,Yes,0.059
C-0549,CP-018,Stud,B-002,Round,Saddle,17.53,NA,NA,No,NA,NA,No,Yes,0.059
C-0555,CP-019,NA,B-012,NA,NA,27.6,77.8,42.9,No,NA,NA,No,Yes,1.612
C-0556,CP-018,Stud,B-002,Round,Saddle,17.53,NA,NA,No,18.24,NA,No,Yes,0.059
C-0569,CP-018,Boss,B-005,Round,Shoulder,15,NA,NA,No,25,22.5,No,Yes,0.037
C-0575,CP-018,Boss,9999,Round,Saddle,21.4,NA,NA,No,NA,NA,Yes,Yes,0.075
C-0623,CP-018,Stud,B-002,Round,Saddle,15.8,NA,NA,No,NA,NA,No,Yes,0.021
C-0624,CP-018,Stud,B-002,Round,Saddle,19.3,NA,NA,No,20,NA,No,Yes,0.06
C-0641,CP-019,NA,B-012,NA,NA,16.9,106.38,61.93,No,NA,NA,No,Yes,0.304
C-0643,CP-019,NA,B-012,NA,NA,20.07,120.65,69.85,No,NA,NA,No,Yes,3.361
C-0678,CP-018,Boss,B-005,Round,Saddle,20,NA,NA,No,NA,NA,Yes,Yes,0.112
C-0697,CP-018,Stud,B-002,Round,Saddle,14.2,NA,NA,No,NA,NA,No,Yes,0.014
C-0699,CP-018,Boss,B-011,Round,Shoulder,17.5,NA,NA,No,22,18,No,Yes,0.044
C-0700,CP-018,Stud,B-002,Hex,Saddle,36.6,NA,NA,No,NA,NA,No,Yes,0.265
C-0701,CP-018,Stud,B-002,Hex,Saddle,37.6,NA,NA,No,NA,NA,No,Yes,0.194
C-0723,CP-018,Boss,B-004,Round,Saddle,16.6,NA,NA,No,NA,NA,Yes,Yes,0.076
C-0755,CP-018,Boss,B-005,Round,Saddle,18.8,NA,NA,No,32,NA,Yes,Yes,2.62
C-0770,CP-020,NA,9999,NA,NA,21.5,94,NA,No,NA,NA,No,Yes,0.987
C-0780,CP-020,NA,9999,NA,NA,21.5,76.2,NA,No,NA,NA,No,Yes,0.577
C-0791,CP-018,Stud,B-002,Round,Saddle,15.75,NA,NA,No,NA,NA,No,Yes,0.034
C-0793,CP-019,NA,B-012,NA,NA,54.7,88.9,50.8,No,NA,NA,No,Yes,3.815
C-0796,CP-020,NA,9999,NA,NA,21.2,94,NA,No,NA,NA,No,Yes,0.987
C-0804,CP-019,NA,B-012,NA,NA,12.5,106.4,61.9,No,NA,NA,No,Yes,2.805
C-0816,CP-018,Boss,B-005,Round,Saddle,18.54,NA,NA,No,NA,NA,Yes,Yes,0.071
C-0817,CP-018,Boss,B-005,Round,Saddle,18.54,NA,NA,No,31.75,NA,No,Yes,0.069
C-0837,CP-018,Boss,B-004,Round,Flat Bottom,20,NA,NA,No,25,NA,No,Yes,0.059
C-0854,CP-018,Boss,B-004,Round,Shoulder,11.5,NA,NA,No,25.4,19,No,Yes,0.041
C-0869,CP-019,NA,B-012,NA,NA,11.95,77.8,42.9,No,NA,NA,No,Yes,1.112
C-0893,CP-018,Boss,B-005,Round,Saddle,25,NA,NA,No,NA,NA,Yes,Yes,0.31
C-0899,CP-020,NA,9999,NA,NA,8.3,76.2,NA,No,NA,NA,No,Yes,0.426
C-0920,CP-018,Boss,B-009,Round,Flat Bottom,17,NA,NA,No,28.8,NA,No,Yes,0.077
C-0930,CP-018,Boss,9999,Round,Saddle,24,NA,NA,No,NA,NA,Yes,Yes,0.122
C-0965,CP-018,Boss,B-005,Round,Saddle,39.6,NA,NA,No,50,NA,Yes,Yes,0.5
C-1029,CP-018,Boss,B-005,Round,Saddle,45,NA,NA,No,NA,NA,Yes,Yes,0.411
C-1045,CP-018,Stud,B-002,Hex,Saddle,25.66,NA,NA,No,NA,NA,No,Yes,0.01
C-1065,CP-019,NA,B-012,NA,NA,27.4,69.85,35.71,No,NA,NA,No,Yes,1.494
C-1089,CP-018,Boss,B-009,Round,Flat Bottom,12.5,NA,NA,No,18,NA,No,Yes,0.037
C-1117,CP-018,Boss,B-005,Round,Saddle,38.1,NA,NA,No,50.8,NA,No,Yes,0.523
C-1123,CP-018,Boss,B-009,Round,Saddle,15.5,NA,NA,No,NA,NA,No,Yes,0.149
C-1124,CP-018,Boss,B-009,Round,Saddle,15.5,NA,NA,No,NA,NA,No,Yes,0.08
C-1127,CP-018,Boss,B-009,Round,Saddle,15.5,NA,NA,No,NA,NA,No,Yes,0.075
C-1171,CP-018,Boss,B-005,Round,Saddle,20.05,NA,NA,No,44.45,NA,No,Yes,0.149
C-1225,CP-018,Boss,B-004,Round,Saddle,12.7,NA,NA,No,NA,NA,No,Yes,NA
C-1231,CP-018,Boss,B-004,Round,Saddle,12.7,NA,NA,No,NA,NA,No,Yes,0.015
C-1233,CP-018,Boss,B-004,Round,Saddle,12.7,NA,NA,No,NA,NA,No,Yes,0.058
C-1256,CP-018,Boss,B-005,Round,Shoulder,13,NA,NA,No,40,29,Yes,Yes,0.14
C-1257,CP-018,Boss,B-005,Round,Shoulder,10,NA,NA,No,25,18,No,Yes,0.06
C-1259,CP-018,Boss,B-004,Round,Saddle,15,NA,NA,No,NA,NA,No,Yes,0.215
C-1308,CP-020,NA,9999,NA,NA,12.5,86,NA,No,NA,NA,No,Yes,0.454
C-1340,CP-018,Boss,B-005,Round,Shoulder,18.3,NA,NA,No,44.45,40.13,Yes,Yes,0.146
C-1410,CP-018,Boss,B-004,Round,Flat Bottom,22.23,NA,NA,No,31.75,NA,No,Yes,0.005
C-1411,CP-018,Boss,B-004,Round,Flat Bottom,18.3,NA,NA,No,25,NA,No,Yes,0.057
C-1417,CP-018,Boss,B-004,Round,Saddle,12.7,NA,NA,No,NA,NA,No,Yes,0.034
C-1426,CP-018,Boss,B-005,Round,Shoulder,17.53,NA,NA,No,31.75,24.61,Yes,Yes,0.071
C-1431,CP-018,Boss,B-005,Round,Saddle,15.75,NA,NA,No,NA,NA,Yes,Yes,0.1
C-1489,CP-018,Boss,B-004,Round,Flat Bottom,15.7,NA,NA,No,25,NA,No,Yes,0.04
C-1496,CP-019,NA,B-012,NA,NA,30,69.85,35.71,No,NA,NA,No,Yes,1.023
C-1503,CP-018,Boss,B-005,Round,Saddle,26,NA,NA,No,NA,NA,Yes,Yes,0.455
C-1505,CP-018,Boss,B-004,Round,Shoulder,4.76,NA,NA,No,25.4,22.22,No,Yes,0.045
C-1506,CP-018,Boss,B-004,Round,Shoulder,9.53,NA,NA,No,22.22,18.26,No,Yes,0.021
C-1507,CP-018,Boss,B-005,Round,Saddle,19,NA,NA,No,NA,NA,Yes,Yes,0.15
C-1535,CP-018,Boss,B-005,Round,Saddle,15.75,NA,NA,No,NA,NA,Yes,Yes,0.052
C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,NA,NA,No,NA,NA,Yes,Yes,0.052
C-1537,CP-018,Boss,B-005,Round,Shoulder,16.76,NA,NA,No,31.75,27.43,Yes,Yes,0.084
C-1557,CP-018,Boss,B-004,Round,Flat Bottom,38.1,NA,NA,No,20.64,NA,No,Yes,0.091
C-1579,CP-018,Boss,B-004,Round,Flat Bottom,31.75,NA,NA,No,25.4,NA,Yes,Yes,0.114
C-1697,CP-018,Boss,B-005,Round,Shoulder,20.5,NA,NA,No,25,17.8,Yes,Yes,0.066
C-1698,CP-018,Boss,B-005,Round,Shoulder,20.5,NA,NA,No,28,21.8,Yes,Yes,0.073
C-1699,CP-018,Boss,B-005,Round,Shoulder,25.5,NA,NA,No,35,23.8,Yes,Yes,0.083
C-1707,CP-018,Boss,B-005,Round,Shoulder,23,NA,NA,No,45,34.9,Yes,Yes,0.182
C-1708,CP-018,Boss,B-005,Round,Shoulder,11,NA,NA,No,30,27.7,No,Yes,0.052
C-1725,CP-018,Boss,B-005,Round,Saddle,23.11,NA,NA,No,NA,NA,No,Yes,0.24
C-1729,CP-018,Boss,B-005,Round,Saddle,50.4,NA,NA,No,NA,NA,Yes,Yes,0.223
C-1731,CP-018,Boss,B-004,Round,Shoulder,8.89,NA,NA,No,25.4,12.29,No,Yes,NA
C-1764,CP-018,Boss,B-004,Round,Flat Bottom,10,NA,NA,No,14,NA,No,Yes,0.009
C-1780,CP-018,Boss,B-005,Round,Shoulder,20,NA,NA,No,25,15,Yes,Yes,0.06
C-1833,CP-018,Boss,B-005,Round,Shoulder,12.3,NA,NA,No,60,52.37,Yes,Yes,0.223
C-1839,CP-018,Boss,B-005,Round,Saddle,15.75,NA,NA,No,25.4,NA,Yes,Yes,0.055
C-1862,CP-018,Boss,B-004,Round,Flat Bottom,19,NA,NA,No,25,NA,No,Yes,0.091
C-1919,CP-019,NA,B-012,NA,NA,35,58.72,30.18,No,NA,NA,No,Yes,1.96
C-1924,CP-018,Boss,B-004,Round,Saddle,15,NA,NA,No,NA,NA,No,Yes,0.09
C-1925,CP-018,Boss,B-005,Round,Saddle,20,NA,NA,No,NA,NA,Yes,Yes,0.197
C-1928,CP-018,Boss,B-005,Round,Saddle,15.8,NA,NA,No,NA,NA,Yes,Yes,0.079
C-1970,CP-018,Boss,B-004,Round,Saddle,16,NA,NA,No,NA,NA,No,Yes,0.032
C-1973,CP-018,Boss,B-004,Round,Saddle,19.05,NA,NA,No,31.75,NA,No,Yes,0.05
C-1974,CP-018,Boss,B-004,Round,Saddle,31.75,NA,NA,No,NA,NA,No,Yes,2.375
C-1988,CP-018,Boss,B-005,Round,Saddle,16,NA,NA,No,NA,NA,No,Yes,0.055
C-1990,CP-018,Boss,B-005,Round,Saddle,16,NA,NA,No,NA,NA,Yes,Yes,0.2
