component_id,component_type_id,adaptor_angle,overall_length,hex_size,end_form_id_1,connection_type_id_1,length_1,thread_size_1,thread_pitch_1,nominal_size_1,end_form_id_2,connection_type_id_2,length_2,thread_size_2,thread_pitch_2,nominal_size_2,end_form_id_3,connection_type_id_3,length_3,thread_size_3,thread_pitch_3,nominal_size_3,end_form_id_4,connection_type_id_4,length_4,thread_size_4,thread_pitch_4,nominal_size_4,unique_feature,orientation,weight
C-0007,CP-014,NA,24.4,12.7,A-001,B-001,NA,.437,20,NA,A-004,NA,NA,NA,NA,6.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.028
C-0030,CP-015,90,NA,NA,A-003,NA,47,NA,NA,42,A-003,NA,47,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.914
C-0041,CP-014,NA,28,32,A-004,NA,NA,NA,NA,21.7,A-001,B-002,NA,.812,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.12
C-0043,CP-014,NA,38,27,A-003,NA,NA,NA,NA,21.7,A-001,B-002,NA,.812,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.09
C-0044,CP-014,NA,30.5,41.28,A-004,NA,NA,NA,NA,34,A-001,B-002,NA,1.437,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.182
C-0069,CP-015,90,NA,NA,A-001,B-002,29,.812,16,NA,A-004,NA,16,NA,NA,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,0.216
C-0070,CP-015,90,NA,NA,A-003,NA,30,NA,NA,21.7,A-001,B-002,27,.812,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.178
C-0072,CP-015,90,NA,NA,A-003,NA,30,NA,NA,21.7,A-001,B-002,33.5,1.000,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.29
C-0073,CP-015,90,NA,NA,A-004,NA,21,NA,NA,22.22,A-001,B-002,35,1.000,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.537
C-0074,CP-014,NA,40.5,27,A-003,NA,NA,NA,NA,21.7,A-001,B-002,NA,1.000,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.134
C-0077,CP-014,NA,23,27.2,A-004,NA,NA,NA,NA,17.14,A-001,B-002,NA,.812,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.066
C-0078,CP-014,NA,32,27,A-005,B-002,NA,.812,16,NA,A-004,NA,NA,NA,NA,17.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.07
C-0119,CP-015,90,NA,NA,A-001,B-003,44,.625,18,NA,A-004,NA,15,NA,NA,9.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.205
C-0133,CP-014,NA,70,NA,A-006,B-002,NA,.812,16,NA,A-004,NA,NA,NA,NA,12.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,0.142
C-0159,CP-016,NA,NA,NA,A-003,NA,35.5,NA,NA,42.7,A-003,NA,35.5,NA,NA,34,A-001,B-002,42,1.437,12,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.667
C-0173,CP-014,NA,43.5,31.75,A-003,NA,NA,NA,NA,27.2,A-001,B-005,NA,1.062,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.14
C-0178,CP-014,NA,50,63.5,A-007,B-004,NA,2.000,11.5,NA,A-004,NA,NA,NA,NA,44.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.511
C-0179,CP-014,NA,38.5,44.45,A-001,B-002,NA,1.687,12,NA,A-004,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.104
C-0180,CP-014,NA,33.5,31.75,A-001,B-002,NA,1.187,12,NA,A-004,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.144
C-0181,CP-014,NA,38.5,38.1,A-001,B-002,NA,1.437,12,NA,A-004,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.218
C-0182,CP-014,NA,38.5,38.1,A-001,B-002,NA,1.437,12,NA,A-004,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.269
C-0189,CP-015,90,NA,NA,A-001,B-002,21.8,.562,18,NA,A-004,NA,9.5,NA,NA,6.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.07
C-0210,CP-015,90,NA,NA,A-001,B-002,30.96,.812,16,NA,A-004,NA,15.88,NA,NA,15.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.211
C-0211,CP-015,90,NA,NA,A-001,B-002,33.32,1.000,14,NA,A-004,NA,16.67,NA,NA,15.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.243
C-0212,CP-015,90,NA,NA,A-001,B-002,41.68,1.437,12,NA,A-004,NA,23.82,NA,NA,25.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.633
C-0216,CP-014,NA,20.32,22.23,A-001,B-005,NA,.750,16,NA,A-004,NA,NA,NA,NA,15.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.034
C-0217,CP-014,NA,23.62,25.4,A-001,B-005,NA,.875,14,NA,A-004,NA,NA,NA,NA,15.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.054
C-0218,CP-014,NA,27.69,31.75,A-001,B-005,NA,1.062,12,NA,A-004,NA,NA,NA,NA,25.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.082
C-0223,CP-016,NA,NA,NA,A-004,NA,40.1,NA,NA,25.40,A-004,NA,40.1,NA,NA,25.40,A-001,B-002,41.7,1.687,12,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.56
C-0240,CP-014,NA,38,38.1,A-001,B-002,NA,1.187,12,NA,A-004,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.195
C-0253,CP-014,NA,30.5,47.62,A-004,NA,NA,NA,NA,34,A-001,B-002,NA,1.687,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.2
C-0263,CP-015,90,NA,NA,A-006,B-002,67.2,1.187,12,NA,A-004,NA,38.9,NA,NA,19.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.525
C-0264,CP-015,90,NA,NA,A-006,B-002,56.9,.812,16,NA,A-004,NA,38.9,NA,NA,19.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.525
C-0272,CP-014,NA,38.5,44.45,A-001,B-002,NA,1.437,12,NA,A-004,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.104
C-0318,CP-014,NA,23.1,22.22,A-001,B-002,NA,.687,16,NA,A-004,NA,NA,NA,NA,15.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.038
C-0338,CP-015,90,NA,NA,A-003,NA,30,NA,NA,9999,A-001,B-002,33.5,1.000,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.29
C-0339,CP-016,NA,NA,NA,A-003,NA,30,NA,NA,21.7,A-003,NA,30,NA,NA,21.7,A-001,B-002,33.5,1.000,14,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.32
C-0363,CP-014,NA,72.5,31.75,A-006,B-002,NA,1.000,14,NA,A-004,NA,NA,NA,NA,19.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.175
C-0369,CP-016,NA,NA,NA,A-001,B-002,30.55,.812,16,NA,A-001,B-002,30.55,.812,16,NA,A-004,NA,15.88,NA,NA,15.88,NA,NA,NA,NA,NA,NA,No,Yes,0.253
C-0371,CP-016,NA,NA,NA,A-003,NA,40,NA,NA,34,A-001,B-002,42.5,1.437,12,NA,A-001,B-002,50.5,1.437,12,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.842
C-0386,CP-014,NA,42.7,60.3,A-001,B-002,NA,2.000,12,NA,A-004,NA,NA,NA,NA,9999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.543
C-0388,CP-014,NA,45.9,19.05,A-006,B-002,NA,.687,16,NA,A-004,NA,NA,NA,NA,12.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.078
C-0389,CP-014,NA,48.4,22.22,A-006,B-002,NA,.812,16,NA,A-004,NA,NA,NA,NA,12.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.15
C-0399,CP-016,NA,NA,NA,A-004,NA,15.88,NA,NA,15.88,A-004,NA,15.88,NA,NA,15.88,A-001,B-002,30.96,.812,16,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.169
C-0409,CP-014,NA,45,NA,A-005,B-002,NA,1.187,12,NA,A-004,NA,NA,NA,NA,25.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.15
C-0410,CP-014,NA,44,NA,A-005,B-002,NA,.812,16,NA,A-004,NA,NA,NA,NA,19.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.11
C-0413,CP-014,NA,23,19,A-001,B-002,NA,.687,16,NA,A-004,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.04
C-0414,CP-014,NA,23,19,A-001,B-002,NA,.687,16,NA,A-004,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.04
C-0415,CP-014,NA,24.5,22,A-001,B-002,NA,.812,16,NA,A-004,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.05
C-0417,CP-014,NA,37,27,A-005,B-002,NA,.812,16,NA,A-004,NA,NA,NA,NA,17.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.231
C-0418,CP-014,NA,30,27,A-004,NA,NA,NA,NA,17.14,A-001,B-002,NA,.812,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.078
C-0419,CP-014,NA,37,27,A-005,B-002,NA,.812,16,NA,A-004,NA,NA,NA,NA,17.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.231
C-0420,CP-014,NA,30,27,A-004,NA,NA,NA,NA,17.47,A-001,B-002,NA,.812,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.078
C-0421,CP-015,90,NA,NA,A-001,B-002,29,.812,16,NA,A-004,NA,21,NA,NA,17.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,0.288
C-0487,CP-016,NA,NA,NA,A-001,B-002,40,1.187,12,NA,A-001,B-002,40,1.187,12,NA,A-004,NA,22.5,NA,NA,35,NA,NA,NA,NA,NA,NA,No,Yes,0.669
C-0488,CP-016,NA,NA,NA,A-001,B-002,40,1.187,12,NA,A-001,B-002,40,1.187,12,NA,A-004,NA,23,NA,NA,30,NA,NA,NA,NA,NA,NA,No,Yes,0.702
C-0503,CP-014,NA,48.26,NA,A-004,NA,NA,NA,NA,50.80,A-001,B-002,NA,1.437,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.525
C-0518,CP-014,NA,23.1,22,A-001,B-002,NA,.687,16,NA,A-004,NA,NA,NA,NA,7.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.04
C-0521,CP-015,90,NA,NA,A-004,NA,23.9,NA,NA,25.40,A-001,B-002,41.7,1.437,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.663
C-0545,CP-014,NA,24.5,22.22,A-004,NA,NA,NA,NA,9.52,A-005,B-002,NA,.687,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.057
C-0550,CP-014,NA,38.6,53.98,A-001,B-002,NA,2.000,12,NA,A-004,NA,NA,NA,NA,38.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.404
C-0584,CP-015,90,NA,NA,A-001,B-002,40,1.687,12,NA,A-004,NA,28,NA,NA,33.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.712
C-0596,CP-014,NA,43.7,17.46,A-006,B-002,NA,.562,18,NA,A-004,NA,NA,NA,NA,9.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,0.055
C-0600,CP-016,NA,NA,NA,A-006,B-002,65.7,1.000,14,NA,A-001,B-002,38.5,1.187,12,NA,A-004,NA,37,NA,NA,15.88,NA,NA,NA,NA,NA,NA,Yes,Yes,0.529
C-0605,CP-017,NA,NA,NA,A-004,NA,23.8,NA,NA,25.40,A-007,B-005,0,.437,20,NA,A-001,B-002,41.7,1.187,12,NA,A-001,B-002,41.7,1.187,12,NA,Yes,Yes,0.358
C-0607,CP-016,NA,NA,NA,A-001,B-002,24.9,.687,16,NA,A-001,B-002,24.9,.687,16,NA,A-004,NA,14.5,NA,NA,9.52,NA,NA,NA,NA,NA,NA,No,Yes,0.5
C-0638,CP-014,NA,75.5,NA,A-004,NA,NA,NA,NA,25.40,A-006,B-002,NA,1.437,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,0.401
C-0651,CP-014,NA,72.4,76.2,A-001,B-004,NA,2.500,8,NA,A-004,NA,NA,NA,NA,63.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.968
C-0683,CP-014,NA,29.7,31.75,A-001,B-002,NA,1.187,12,NA,A-004,NA,NA,NA,NA,15.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.134
C-0702,CP-014,NA,63.3,53.98,A-006,B-002,NA,1.437,12,NA,A-004,NA,NA,NA,NA,38.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.497
C-0740,CP-014,NA,65.1,NA,A-004,NA,NA,NA,NA,6.35,A-006,B-002,NA,.687,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,0.123
C-0768,CP-016,NA,NA,NA,A-001,B-002,42,1.187,12,NA,A-004,NA,37.3,NA,NA,19.05,A-001,B-002,37.3,1.187,12,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.539
C-0769,CP-015,90,NA,NA,A-004,NA,24.7,NA,NA,14.29,A-001,B-002,25,.687,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.138
C-0775,CP-014,NA,65.1,NA,A-004,NA,NA,NA,NA,9.52,A-006,B-002,NA,.687,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.111
C-0805,CP-016,NA,NA,NA,A-004,NA,43,NA,NA,25.40,A-001,B-002,41.7,.812,16,NA,A-006,B-002,71.2,1.437,12,NA,NA,NA,NA,NA,NA,NA,No,Yes,1.125
C-0806,CP-016,NA,NA,NA,A-004,NA,50,NA,NA,25.40,A-001,B-002,41.7,1.437,12,NA,A-001,B-002,41.7,1.437,12,NA,NA,NA,NA,NA,NA,NA,No,Yes,1.007
C-0807,CP-016,NA,NA,NA,A-001,B-002,40,1.000,14,NA,A-001,B-002,40,1.000,14,NA,A-004,NA,42,NA,NA,25.40,NA,NA,NA,NA,NA,NA,No,Yes,0.646
C-0826,CP-015,90,NA,NA,A-004,NA,34.5,NA,NA,25.40,A-001,B-001,48,1.062,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,0.182
C-0832,CP-014,NA,24.4,14.29,A-001,B-001,NA,.562,18,NA,A-004,NA,NA,NA,NA,9.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.681
C-0833,CP-014,NA,41.1,38.1,A-001,B-001,NA,1.312,12,NA,A-004,NA,NA,NA,NA,31.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.136
C-0882,CP-015,90,NA,NA,A-004,NA,48.8,NA,NA,38.10,A-005,B-002,61.2,2.000,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,1.05
C-0895,CP-015,45,NA,NA,A-001,B-002,36.5,1.187,12,NA,A-004,NA,25.9,NA,NA,19.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.397
C-0900,CP-014,NA,63.2,44.45,A-001,B-002,NA,1.687,12,NA,A-004,NA,NA,NA,NA,31.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.456
C-0911,CP-014,NA,42.5,38.1,A-003,NA,NA,NA,NA,25.40,A-001,B-002,NA,1.437,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.201
C-0912,CP-015,90,NA,NA,A-003,NA,39.5,NA,NA,25.40,A-001,B-002,41.7,1.437,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.458
C-0938,CP-014,NA,56.6,44.45,A-001,B-002,NA,1.437,12,NA,A-003,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.351
C-0945,CP-014,NA,42.4,38,A-001,B-002,NA,1.187,12,NA,A-003,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.225
C-0947,CP-014,NA,42.9,38,A-001,B-002,NA,1.437,12,NA,A-003,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.204
C-0948,CP-014,NA,56.6,38,A-001,B-002,NA,1.437,12,NA,A-003,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.284
C-0949,CP-014,NA,50.7,31.75,A-001,B-002,NA,1.187,12,NA,A-003,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.176
C-0971,CP-016,NA,NA,NA,A-001,B-002,41.2,1.187,12,NA,A-001,B-002,41.2,1.187,12,NA,A-003,NA,41.7,NA,NA,9999,NA,NA,NA,NA,NA,NA,No,Yes,0.545
C-0974,CP-015,90,NA,NA,A-006,B-002,71.1,1.437,12,NA,A-004,NA,41.6,NA,NA,31.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,1.17
C-1067,CP-014,NA,63,38.1,A-006,B-002,NA,1.437,12,NA,A-004,NA,NA,NA,NA,19.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.005
C-1072,CP-015,90,NA,NA,A-004,NA,46.7,NA,NA,31.75,A-001,B-002,44.5,1.687,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.097
C-1078,CP-014,NA,24.4,12.7,A-001,B-001,NA,.437,20,NA,A-004,NA,NA,NA,NA,6.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.016
