component_id,component_type_id,adaptor_angle,overall_length,hex_size,end_form_id_1,connection_type_id_1,length_1,thread_size_1,thread_pitch_1,nominal_size_1,end_form_id_2,connection_type_id_2,length_2,thread_size_2,thread_pitch_2,nominal_size_2,end_form_id_3,connection_type_id_3,length_3,thread_size_3,thread_pitch_3,nominal_size_3,end_form_id_4,connection_type_id_4,length_4,thread_size_4,thread_pitch_4,nominal_size_4,unique_feature,orientation,weight
C-1209,CP-015,90,NA,NA,A-001,B-002,25,.687,16,NA,A-004,NA,25,NA,NA,9.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,0.096
C-1218,CP-014,NA,48.4,26.99,A-006,B-002,NA,.812,16,NA,A-004,NA,NA,NA,NA,15.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.15
C-1219,CP-015,90,NA,NA,A-005,B-002,37.9,.812,16,NA,A-004,NA,28,NA,NA,12.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.14
C-1221,CP-015,90,NA,NA,A-004,NA,33.3,NA,NA,19.05,A-001,B-002,33.3,1.000,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,0.16
C-1238,CP-015,90,NA,NA,A-006,B-001,28.2,.750,16,NA,A-004,NA,53.6,NA,NA,12.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.083
C-1338,CP-014,NA,40.5,27,A-003,NA,NA,NA,NA,21.7,A-001,B-002,NA,1.000,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.146
C-1393,CP-014,NA,32,NA,A-004,NA,NA,NA,NA,38.10,A-007,B-005,NA,1.062,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,0.37
C-1423,CP-014,NA,42.5,38.1,A-003,NA,NA,NA,NA,27.2,A-001,B-002,NA,1.437,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.17
C-1441,CP-014,NA,31.8,31.75,A-001,B-005,NA,1.062,12,NA,A-003,NA,NA,NA,NA,19.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.106
C-1445,CP-015,90,NA,NA,A-004,NA,34.5,NA,NA,19.05,A-001,B-001,48,1.062,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.363
C-1468,CP-014,NA,18.54,15.88,A-001,B-006,NA,.625,18,NA,A-004,NA,NA,NA,NA,9.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.128
C-1469,CP-014,NA,27.43,23.81,A-001,B-006,NA,.875,14,NA,A-004,NA,NA,NA,NA,15.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.047
C-1470,CP-014,NA,32.26,14.29,A-001,B-008,NA,1.062,14,NA,A-004,NA,NA,NA,NA,19.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.099
C-1475,CP-014,NA,22,19.05,A-001,B-006,NA,.750,16,NA,A-004,NA,NA,NA,NA,12.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.031
C-1479,CP-014,NA,71.9,41.28,A-004,NA,NA,NA,NA,31.75,A-006,B-001,NA,1.312,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.061
C-1486,CP-014,NA,33,22.22,A-001,B-006,NA,.875,14,NA,A-004,NA,NA,NA,NA,15.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,NA
C-1547,CP-014,NA,32.5,28.58,A-001,B-001,NA,1.062,12,NA,A-004,NA,NA,NA,NA,19.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.091
C-1578,CP-014,NA,50.8,25.4,A-006,B-001,NA,.875,14,NA,A-004,NA,NA,NA,NA,15.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.091
C-1593,CP-015,90,NA,NA,A-006,B-001,67.8,1.062,12,NA,A-004,NA,41.4,NA,NA,25.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.136
C-1637,CP-014,NA,22,15.88,A-001,B-002,NA,.562,18,NA,A-004,NA,NA,NA,NA,6.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.03
C-1638,CP-014,NA,23.1,19.05,A-001,B-002,NA,.687,16,NA,A-004,NA,NA,NA,NA,9.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.04
C-1639,CP-014,NA,24.7,22.2,A-001,B-002,NA,.812,16,NA,A-004,NA,NA,NA,NA,12.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.05
C-1640,CP-014,NA,27.4,26.99,A-001,B-002,NA,1.000,14,NA,A-004,NA,NA,NA,NA,15.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.104
C-1641,CP-014,NA,33.7,31.75,A-001,B-002,NA,1.187,12,NA,A-004,NA,NA,NA,NA,19.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.149
C-1642,CP-014,NA,38.6,38.1,A-001,B-002,NA,1.437,12,NA,A-004,NA,NA,NA,NA,25.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.225
C-1643,CP-014,NA,38.6,44.45,A-001,B-002,NA,1.687,12,NA,A-004,NA,NA,NA,NA,31.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.06
C-1644,CP-014,NA,35.2,34.92,A-001,B-002,NA,1.187,12,NA,A-004,NA,NA,NA,NA,22.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.16
C-1645,CP-014,NA,22,28.58,A-001,B-002,NA,.562,18,NA,A-004,NA,NA,NA,NA,9.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.02
C-1646,CP-014,NA,23.1,19.05,A-001,B-002,NA,.687,16,NA,A-004,NA,NA,NA,NA,12.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.04
C-1647,CP-014,NA,24.7,22.22,A-001,B-002,NA,.812,16,NA,A-004,NA,NA,NA,NA,15.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.05
C-1648,CP-014,NA,31.4,26.99,A-001,B-002,NA,1.000,14,NA,A-004,NA,NA,NA,NA,19.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.097
C-1649,CP-014,NA,35.2,38.1,A-001,B-002,NA,1.187,12,NA,A-004,NA,NA,NA,NA,25.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.22
C-1650,CP-014,NA,38.6,44.45,A-001,B-002,NA,1.437,12,NA,A-004,NA,NA,NA,NA,31.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.05
C-1700,CP-015,90,NA,NA,A-003,NA,36,NA,NA,27.2,A-005,B-002,42,1.187,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.42
C-1701,CP-014,NA,51,26.99,A-005,B-002,NA,1.000,14,NA,A-003,NA,NA,NA,NA,21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.219
C-1702,CP-015,90,NA,NA,A-003,NA,34,NA,NA,21.7,A-005,B-002,40,1.000,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.389
C-1704,CP-014,NA,52,31.75,A-005,B-002,NA,1.187,12,NA,A-003,NA,NA,NA,NA,21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.212
C-1710,CP-014,NA,53.1,31.75,A-006,B-001,NA,1.062,12,NA,A-004,NA,NA,NA,NA,19.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.109
C-1714,CP-014,NA,42,31.75,A-005,B-001,NA,1.062,12,NA,A-004,NA,NA,NA,NA,19.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.136
C-1715,CP-014,NA,36.8,25.4,A-005,B-001,NA,.875,14,NA,A-004,NA,NA,NA,NA,15.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.059
C-1716,CP-014,NA,28.4,22.22,A-001,B-001,NA,.875,14,NA,A-004,NA,NA,NA,NA,15.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.091
C-1718,CP-014,NA,37.1,34.92,A-001,B-001,NA,1.062,12,NA,A-004,NA,NA,NA,NA,25.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.136
C-1722,CP-014,NA,26.5,22.22,A-001,B-001,NA,.750,16,NA,A-004,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.045
C-1723,CP-014,NA,59.44,38.1,A-006,B-001,NA,1.312,12,NA,A-004,NA,NA,NA,NA,25.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.183
C-1724,CP-014,NA,24.6,19.05,A-001,B-001,NA,.750,16,NA,A-004,NA,NA,NA,NA,12.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.045
C-1727,CP-015,90,NA,NA,A-004,NA,20.6,NA,NA,15.88,A-006,B-001,52.3,.875,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.141
C-1728,CP-014,NA,61.2,38.1,A-006,B-001,NA,1.062,12,NA,A-004,NA,NA,NA,NA,25.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.318
C-1743,CP-014,NA,28.6,22.22,A-001,B-005,NA,.875,14,NA,A-004,NA,NA,NA,NA,12.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.045
C-1758,CP-014,NA,52.5,33.34,A-006,B-002,NA,1.000,14,NA,A-004,NA,NA,NA,NA,15.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.168
C-1761,CP-014,NA,45.9,19.05,A-006,B-002,NA,.687,16,NA,A-004,NA,NA,NA,NA,9.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.078
C-1767,CP-014,NA,80,31.75,A-003,NA,NA,NA,NA,27.2,A-001,B-002,NA,1.187,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.28
C-1776,CP-014,NA,56,41,A-005,B-002,NA,1.437,12,NA,A-003,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.327
C-1777,CP-014,NA,42.5,38.1,A-003,NA,NA,NA,NA,34,A-001,B-002,NA,1.437,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.2
C-1778,CP-015,90,NA,NA,A-004,NA,33,NA,NA,9999,A-001,B-002,35,1.187,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,0.37
C-1779,CP-014,NA,52,31.75,A-005,B-002,NA,1.187,12,NA,A-003,NA,NA,NA,NA,27.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.38
C-1781,CP-014,NA,42,31.75,A-003,NA,NA,NA,NA,27.2,A-001,B-002,NA,1.187,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.17
C-1789,CP-014,NA,24,22,A-001,B-002,NA,.687,16,NA,A-004,NA,NA,NA,NA,13.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.047
C-1790,CP-015,90,NA,NA,A-003,NA,35.5,NA,NA,34,A-001,B-002,38,1.437,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.511
C-1802,CP-014,NA,38.1,34.92,A-004,NA,NA,NA,NA,22.22,A-001,B-001,NA,1.187,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.125
C-1808,CP-015,90,NA,NA,A-004,NA,35,NA,NA,25.40,A-005,B-002,34,1.437,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,0.348
C-1836,CP-016,NA,NA,NA,A-001,B-001,36.1,.750,16,NA,A-001,B-001,36.1,.750,16,NA,A-004,NA,25.9,NA,NA,15.88,NA,NA,NA,NA,NA,NA,No,Yes,0.113
C-1837,CP-016,NA,NA,NA,A-001,B-001,36.07,.750,16,NA,A-001,B-001,36.07,.750,16,NA,A-004,NA,25.91,NA,NA,12.70,NA,NA,NA,NA,NA,NA,No,Yes,0.105
C-1840,CP-015,90,NA,NA,A-005,B-001,50.8,1.312,12,NA,A-004,NA,30.23,NA,NA,25.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,0.181
C-1841,CP-014,NA,38.1,34.92,A-001,B-001,NA,1.312,12,NA,A-004,NA,NA,NA,NA,25.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.136
C-1864,CP-014,NA,45,31.75,A-005,B-001,NA,1.062,12,NA,A-004,NA,NA,NA,NA,25.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.091
C-1869,CP-014,NA,34,22.22,A-005,B-001,NA,.750,16,NA,A-004,NA,NA,NA,NA,9.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.123
C-1870,CP-014,NA,24.7,22.22,A-001,B-002,NA,.812,16,NA,A-004,NA,NA,NA,NA,9.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.06
C-1873,CP-014,NA,22.22,12.7,A-001,B-005,NA,.750,16,NA,A-004,NA,NA,NA,NA,12.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.03
C-1877,CP-015,90,NA,NA,A-006,B-002,67.2,1.187,12,NA,A-004,NA,18.25,NA,NA,22.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,0.525
C-1879,CP-014,NA,33.7,34.92,A-001,B-002,NA,1.000,14,NA,A-004,NA,NA,NA,NA,22.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.04
C-1885,CP-014,NA,27.4,26.99,A-001,B-002,NA,1.000,14,NA,A-004,NA,NA,NA,NA,12.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.045
C-1888,CP-015,90,NA,NA,A-004,NA,37.3,NA,NA,19.05,A-001,B-002,18.26,1.187,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,0.326
C-1889,CP-014,NA,28.7,26.99,A-001,B-002,NA,.812,16,NA,A-004,NA,NA,NA,NA,19.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.075
C-1892,CP-015,90,NA,NA,A-004,NA,16.67,NA,NA,15.88,A-001,B-002,30.8,.812,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,0.326
C-1902,CP-014,NA,38.6,53.98,A-001,B-002,NA,1.687,12,NA,A-004,NA,NA,NA,NA,38.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.185
C-1903,CP-014,NA,38.6,38.1,A-001,B-002,NA,1.000,14,NA,A-004,NA,NA,NA,NA,25.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.235
C-1906,CP-015,90,NA,NA,A-004,NA,35,NA,NA,22.22,A-005,B-002,34,1.437,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,0.35
C-1907,CP-014,NA,63.2,44.45,A-006,B-002,NA,1.437,12,NA,A-004,NA,NA,NA,NA,25.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.39
C-1908,CP-014,NA,60,38.1,A-006,B-002,NA,1.187,12,NA,A-004,NA,NA,NA,NA,22.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.243
C-1909,CP-014,NA,60,38.1,A-006,B-002,NA,1.187,12,NA,A-004,NA,NA,NA,NA,25.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.24
C-1910,CP-014,NA,58.5,38.1,A-006,B-002,NA,1.187,12,NA,A-004,NA,NA,NA,NA,19.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.297
C-1911,CP-015,90,NA,NA,A-006,B-002,58.6,1.000,14,NA,A-004,NA,16.67,NA,NA,15.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,0.274
C-1912,CP-016,NA,NA,NA,A-001,B-002,33.5,.812,16,NA,A-004,NA,22,NA,NA,19.05,A-001,B-002,35.8,1.000,14,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,0.135
C-1913,CP-014,NA,63.2,44.45,A-006,B-002,NA,1.437,12,NA,A-004,NA,NA,NA,NA,31.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.405
C-1936,CP-014,NA,35.05,NA,A-007,B-005,NA,.750,16,NA,A-004,NA,NA,NA,NA,15.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.158
C-1976,CP-014,NA,54,50.8,A-005,B-001,NA,1.625,12,NA,A-004,NA,NA,NA,NA,31.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,0.168
C-1994,CP-015,90,NA,NA,A-004,NA,43.7,NA,NA,15.88,A-001,B-002,33.3,1.000,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,0.125
C-1995,CP-015,90,NA,NA,A-004,NA,41.7,NA,NA,25.40,A-001,B-002,41.2,1.187,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,0.478
C-1998,CP-015,90,NA,NA,A-004,NA,31,NA,NA,19.05,A-005,B-002,31.5,1.187,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,0.09
C-2001,CP-015,90,NA,NA,A-006,B-002,71.1,1.437,12,NA,A-004,NA,41.6,NA,NA,25.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,0.855
C-2002,CP-015,90,NA,NA,A-004,NA,41.6,NA,NA,25.40,A-005,B-002,53.3,1.437,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,0.35
C-2003,CP-015,90,NA,NA,A-006,B-002,67.2,1.187,12,NA,A-004,NA,38.9,NA,NA,22.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,0.525
C-2004,CP-015,90,NA,NA,A-001,B-002,28,.812,16,NA,A-004,NA,28,NA,NA,12.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,0.125
C-2005,CP-015,90,NA,NA,A-001,B-002,37.3,1.187,12,NA,A-004,NA,37.3,NA,NA,19.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,0.326
C-2006,CP-015,90,NA,NA,A-004,NA,41.6,NA,NA,22.22,A-005,B-002,53.4,1.437,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,0.35
C-2007,CP-015,90,NA,NA,A-006,B-002,63.1,1.000,14,NA,A-004,NA,33.3,NA,NA,15.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,0.274
C-2008,CP-015,90,NA,NA,A-005,B-002,41,1.000,14,See Drawing,A-004,NA,33.3,NA,NA,15.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,0.125
C-2032,CP-015,90,NA,NA,A-004,NA,41.7,NA,NA,25.40,A-001,B-002,41.7,1.437,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,0.495
C-2033,CP-015,90,NA,NA,A-006,B-002,67.2,1.187,12,NA,A-004,NA,38.9,NA,NA,25.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,0.475
